"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"114","01001",1010,1,"2018","control","- Homicidio"
"115","01001",3040,1,"2018","control","- Violación"
"116","01001",1010,1,"2018","control","- Homicidio"
"117","01001",1010,1,"2018","control","- Homicidio"
"118","01001",1010,1,"2018","control","- Homicidio"
"119","01001",3040,1,"2018","control","- Violación"
"120","01001",7010,1,"2018","control","- Narcomenudeo"
"121","01001",1010,1,"2018","control","- Homicidio"
"122","01001",7010,2,"2018","control","- Narcomenudeo"
"123","01001",1010,1,"2018","control","- Homicidio"
"124","01001",7010,1,"2018","control","- Narcomenudeo"
"125","01001",7010,1,"2018","control","- Narcomenudeo"
"126","01001",7010,1,"2018","control","- Narcomenudeo"
"127","01001",7010,1,"2018","control","- Narcomenudeo"
"128","01001",1010,1,"2018","control","- Homicidio"
"129","01001",7010,1,"2018","control","- Narcomenudeo"
"130","01001",7010,1,"2018","control","- Narcomenudeo"
"131","01001",7010,1,"2018","control","- Narcomenudeo"
"132","01001",7010,1,"2018","control","- Narcomenudeo"
"133","01001",1010,1,"2018","control","- Homicidio"
"134","01001",2060,1,"2018","control","- Secuestro"
"135","01001",7010,1,"2018","control","- Narcomenudeo"
"136","01001",5010,1,"2018","control","- Violencia familiar"
"137","01001",2060,3,"2018","control","- Secuestro"
"138","01001",7010,1,"2018","control","- Narcomenudeo"
"139","01001",3040,1,"2018","control","- Violación"
"140","01001",7010,1,"2018","control","- Narcomenudeo"
"141","01001",1010,1,"2018","control","- Homicidio"
"142","01001",7010,1,"2018","control","- Narcomenudeo"
"143","01001",7010,1,"2018","control","- Narcomenudeo"
"144","01001",7010,1,"2018","control","- Narcomenudeo"
"145","01001",7010,1,"2018","control","- Narcomenudeo"
"146","01001",7010,1,"2018","control","- Narcomenudeo"
"147","01001",7010,1,"2018","control","- Narcomenudeo"
"148","01001",7010,1,"2018","control","- Narcomenudeo"
"149","01001",1010,1,"2018","control","- Homicidio"
"150","01001",1010,1,"2018","control","- Homicidio"
"151","01001",7010,1,"2018","control","- Narcomenudeo"
"152","01001",7010,1,"2018","control","- Narcomenudeo"
"153","01001",7010,1,"2018","control","- Narcomenudeo"
"154","01001",7010,1,"2018","control","- Narcomenudeo"
"155","01001",7010,1,"2018","control","- Narcomenudeo"
"156","01001",2060,1,"2018","control","- Secuestro"
"157","01001",7010,2,"2018","control","- Narcomenudeo"
"158","01001",5010,1,"2018","control","- Violencia familiar"
"159","01001",1010,1,"2018","control","- Homicidio"
"160","01001",7010,1,"2018","control","- Narcomenudeo"
"161","01001",1010,1,"2018","control","- Homicidio"
"162","01001",7010,1,"2018","control","- Narcomenudeo"
"163","01001",7010,1,"2018","control","- Narcomenudeo"
"164","01001",7010,1,"2018","control","- Narcomenudeo"
"165","01001",7010,1,"2018","control","- Narcomenudeo"
"166","01001",7010,1,"2018","control","- Narcomenudeo"
"167","01001",3040,1,"2018","control","- Violación"
"168","01001",3040,1,"2018","control","- Violación"
"169","01001",7010,1,"2018","control","- Narcomenudeo"
"170","01001",7010,1,"2018","control","- Narcomenudeo"
"171","01001",7010,1,"2018","control","- Narcomenudeo"
"172","01001",7010,1,"2018","control","- Narcomenudeo"
"173","01001",7010,1,"2018","control","- Narcomenudeo"
"174","01001",7010,1,"2018","control","- Narcomenudeo"
"175","01001",1010,1,"2018","control","- Homicidio"
"176","01001",1010,1,"2018","control","- Homicidio"
"177","01001",7010,1,"2018","control","- Narcomenudeo"
"178","01001",3040,1,"2018","control","- Violación"
"179","01001",7010,1,"2018","control","- Narcomenudeo"
"180","01001",7010,1,"2018","control","- Narcomenudeo"
"181","01001",3040,1,"2018","control","- Violación"
"182","01001",7010,1,"2018","control","- Narcomenudeo"
"183","01001",7010,1,"2018","control","- Narcomenudeo"
"184","01001",7010,1,"2018","control","- Narcomenudeo"
"185","01001",5010,1,"2018","control","- Violencia familiar"
"186","01001",7010,1,"2018","control","- Narcomenudeo"
"187","01001",7010,2,"2018","control","- Narcomenudeo"
"188","01001",7010,1,"2018","control","- Narcomenudeo"
"189","01001",5010,1,"2018","control","- Violencia familiar"
"190","01001",7010,1,"2018","control","- Narcomenudeo"
"191","01001",7010,1,"2018","control","- Narcomenudeo"
"192","01001",1010,3,"2018","control","- Homicidio"
"193","01001",7010,1,"2018","control","- Narcomenudeo"
"194","01001",7010,1,"2018","control","- Narcomenudeo"
"195","01001",7010,1,"2018","control","- Narcomenudeo"
"196","01001",1010,1,"2018","control","- Homicidio"
"197","01001",2060,1,"2018","control","- Secuestro"
"198","01001",7010,1,"2018","control","- Narcomenudeo"
"199","01001",5010,1,"2018","control","- Violencia familiar"
"200","01001",7010,1,"2018","control","- Narcomenudeo"
"201","01001",5010,1,"2018","control","- Violencia familiar"
"202","01001",1010,1,"2018","control","- Homicidio"
"203","01001",7010,1,"2018","control","- Narcomenudeo"
"204","01001",7010,1,"2018","control","- Narcomenudeo"
"205","01001",7010,1,"2018","control","- Narcomenudeo"
"206","01001",7010,1,"2018","control","- Narcomenudeo"
"207","01001",7010,2,"2018","control","- Narcomenudeo"
"208","01001",7010,1,"2018","control","- Narcomenudeo"
"209","01001",5010,1,"2018","control","- Violencia familiar"
"210","01001",7010,1,"2018","control","- Narcomenudeo"
"211","01001",7010,1,"2018","control","- Narcomenudeo"
"212","01001",2060,1,"2018","control","- Secuestro"
"213","01001",5010,1,"2018","control","- Violencia familiar"
"214","01001",3040,1,"2018","control","- Violación"
"215","01001",7010,1,"2018","control","- Narcomenudeo"
"216","01001",7010,1,"2018","control","- Narcomenudeo"
"217","01001",5010,1,"2018","control","- Violencia familiar"
"218","01001",7010,1,"2018","control","- Narcomenudeo"
"219","01001",7010,2,"2018","control","- Narcomenudeo"
"220","01001",7010,1,"2018","control","- Narcomenudeo"
"221","01001",3040,1,"2018","control","- Violación"
"222","01001",7010,4,"2018","control","- Narcomenudeo"
"223","01001",7010,1,"2018","control","- Narcomenudeo"
"224","01001",7010,1,"2018","control","- Narcomenudeo"
"225","01001",7010,1,"2018","control","- Narcomenudeo"
"226","01001",7010,1,"2018","control","- Narcomenudeo"
"227","01001",7010,1,"2018","control","- Narcomenudeo"
"228","01001",1010,1,"2018","control","- Homicidio"
"229","01001",7010,1,"2018","control","- Narcomenudeo"
"230","01001",7010,1,"2018","control","- Narcomenudeo"
"231","01001",5010,1,"2018","control","- Violencia familiar"
"232","01001",1010,1,"2018","control","- Homicidio"
"233","01001",7010,1,"2018","control","- Narcomenudeo"
"234","01001",3040,1,"2018","control","- Violación"
"235","01001",2060,1,"2018","control","- Secuestro"
"236","01001",7010,2,"2018","control","- Narcomenudeo"
"237","01001",7010,1,"2018","control","- Narcomenudeo"
"238","01001",7010,1,"2018","control","- Narcomenudeo"
"239","01001",5010,1,"2018","control","- Violencia familiar"
"240","01001",7010,1,"2018","control","- Narcomenudeo"
"241","01001",7010,1,"2018","control","- Narcomenudeo"
"242","01001",3040,1,"2019","control","- Violación"
"243","01001",5010,1,"2019","control","- Violencia familiar"
"244","01001",7010,1,"2019","control","- Narcomenudeo"
"245","01001",7010,1,"2019","control","- Narcomenudeo"
"246","01001",7010,1,"2019","control","- Narcomenudeo"
"247","01001",5010,1,"2019","control","- Violencia familiar"
"248","01001",7010,1,"2019","control","- Narcomenudeo"
"249","01001",3040,1,"2019","control","- Violación"
"250","01001",5010,1,"2019","control","- Violencia familiar"
"251","01001",7010,1,"2019","control","- Narcomenudeo"
"252","01001",7010,1,"2019","control","- Narcomenudeo"
"253","01001",7010,1,"2019","control","- Narcomenudeo"
"254","01001",7010,1,"2019","control","- Narcomenudeo"
"255","01001",7010,1,"2019","control","- Narcomenudeo"
"256","01001",7010,1,"2019","control","- Narcomenudeo"
"257","01001",7010,1,"2019","control","- Narcomenudeo"
"258","01001",1010,1,"2019","control","- Homicidio"
"259","01001",7010,1,"2019","control","- Narcomenudeo"
"260","01001",7010,1,"2019","control","- Narcomenudeo"
"261","01001",7010,1,"2019","control","- Narcomenudeo"
"262","01001",1010,1,"2019","control","- Homicidio"
"263","01001",3040,1,"2019","control","- Violación"
"264","01001",7010,1,"2019","control","- Narcomenudeo"
"265","01001",7010,1,"2019","control","- Narcomenudeo"
"266","01001",5010,1,"2019","control","- Violencia familiar"
"267","01001",7010,1,"2019","control","- Narcomenudeo"
"268","01001",7010,1,"2019","control","- Narcomenudeo"
"269","01001",7010,1,"2019","control","- Narcomenudeo"
"270","01001",7010,1,"2019","control","- Narcomenudeo"
"271","01001",7010,1,"2019","control","- Narcomenudeo"
"272","01001",7010,1,"2019","control","- Narcomenudeo"
"273","01001",5010,1,"2019","control","- Violencia familiar"
"274","01001",3040,1,"2019","control","- Violación"
"275","01001",5010,1,"2019","control","- Violencia familiar"
"276","01001",5010,2,"2019","control","- Violencia familiar"
"277","01001",7010,1,"2019","control","- Narcomenudeo"
"278","01001",1010,2,"2019","control","- Homicidio"
"279","01001",7010,1,"2019","control","- Narcomenudeo"
"280","01001",7010,1,"2019","control","- Narcomenudeo"
"281","01001",2060,4,"2019","control","- Secuestro"
"282","01001",7010,1,"2019","control","- Narcomenudeo"
"283","01001",7010,1,"2019","control","- Narcomenudeo"
"284","01001",3040,1,"2019","control","- Violación"
