"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
323,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-12,"VIOLENCIA FAMILIAR",NA,NA,2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-13,"VIOLENCIA FAMILIAR",2022-03-23,NA,2022-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,495,495,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-14,"VIOLENCIA FAMILIAR",NA,NA,2021-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-26,"VIOLACIÓN EQUIPARADA",2022-01-18,NA,NA,2022-01-18,2022-06-30,2022-07-15,"Condenatoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,418,NA,NA,0,163,15,NA,NA,NA,NA,NA,NA,NA,NA,596
326,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-26,"VIOLENCIA FAMILIAR",2022-01-18,NA,NA,2022-01-18,2022-06-30,2022-07-15,"Condenatoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,418,NA,NA,0,163,15,NA,NA,NA,NA,NA,NA,NA,NA,596
327,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-26,"VIOLENCIA FAMILIAR",NA,NA,2021-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,1,"ORALIDAD AGUASCALIENTES",2020-11-30,"VIOLACIÓN",2021-10-07,NA,2021-10-07,NA,NA,NA,NA,"Si",2021-10-15,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2020,311,311,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-01,"VIOLACIÓN",2021-12-09,NA,2021-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,373,373,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-02,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-03,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-08,"VIOLACIÓN",2021-08-18,NA,2021-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,253,253,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-17,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",2021-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLACIÓN",2022-07-19,NA,2022-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,578,578,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLACIÓN EQUIPARADA",2022-07-19,NA,2022-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,578,578,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",2022-07-19,NA,2022-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,578,578,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,2021-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLACIÓN",2022-01-12,NA,2022-01-12,NA,NA,NA,NA,"Si",2022-01-17,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2020,390,390,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLACIÓN",2022-02-22,NA,2022-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,431,431,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-18,"VIOLENCIA FAMILIAR",2021-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-19,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-22,"VIOLACIÓN",NA,NA,2021-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-25,"VIOLENCIA FAMILIAR",NA,NA,2021-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-30,"VIOLACIÓN EQUIPARADA",2022-07-20,NA,2022-07-20,NA,NA,NA,NA,"Si",2021-01-28,"Vinculación a proceso","No se admite","Si",2021-08-13,"Vinculación a proceso","Confirma","Si",2022-08-04,"Sentencia",NA,2020,567,567,1,NA,NA,NA,29,NA,NA,NA,NA,NA,197,356,NA
352,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-30,"VIOLENCIA FAMILIAR",2022-07-20,NA,2022-07-20,NA,NA,NA,NA,"Si",2021-01-28,"Vinculación a proceso","No se admite","Si",2021-08-13,"Vinculación a proceso","Confirma","Si",2022-08-04,"Sentencia",NA,2020,567,567,1,NA,NA,NA,29,NA,NA,NA,NA,NA,197,356,NA
353,NA,1,"ORALIDAD AGUASCALIENTES",2020-12-31,"VIOLACIÓN",2022-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-13,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-18,"VIOLACIÓN",NA,NA,2021-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-21,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-22,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-23,"VIOLACIÓN EQUIPARADA",2021-11-04,NA,NA,2021-11-04,2022-04-08,2022-04-08,"Condenatoria","SI",2022-06-06,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,285,NA,NA,0,155,0,NA,NA,NA,NA,NA,59,NA,NA,440
360,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-25,"VIOLACIÓN EQUIPARADA",NA,NA,2021-06-22,NA,NA,NA,NA,"SI",2021-06-29,"Sentencia","Modifica",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-25,"VIOLACIÓN EQUIPARADA",2022-07-22,NA,NA,2022-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,543,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-25,"VIOLACIÓN EQUIPARADA",2022-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,NA,1,"ORALIDAD AGUASCALIENTES",2021-01-28,"VIOLACIÓN EQUIPARADA",2022-08-03,NA,NA,NA,NA,NA,NA,"SI",2021-02-11,"Vinculación a proceso","Modifica",NA,NA,NA,NA,NA,NA,NA,NA,2021,552,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
363,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-03,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-03,"VIOLACIÓN",NA,NA,2022-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-03,"VIOLENCIA FAMILIAR",NA,NA,2022-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-04,"VIOLACIÓN",NA,NA,2021-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-04,"VIOLACIÓN",NA,NA,2021-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-05,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-08,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-09,"VIOLENCIA FAMILIAR",NA,NA,2021-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-10,"VIOLACIÓN",2021-08-03,NA,NA,2021-08-03,2022-01-20,2022-02-03,"Condenatoria","SI",2022-02-21,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,174,NA,NA,0,170,14,NA,NA,NA,NA,NA,18,NA,NA,358
369,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-10,"VIOLACIÓN EQUIPARADA",2021-08-03,NA,NA,2021-08-03,2022-01-20,2022-02-03,"Absolutoria","SI",2022-02-21,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,174,NA,NA,0,170,14,NA,NA,NA,NA,NA,18,NA,NA,358
370,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-18,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-19,"VIOLENCIA FAMILIAR",NA,NA,2021-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-24,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-24,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-24,"VIOLACIÓN EQUIPARADA",NA,NA,2022-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-25,"VIOLACIÓN",NA,NA,2022-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-25,"VIOLACIÓN EQUIPARADA",2022-06-14,NA,2022-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,474,474,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-25,"VIOLACIÓN",2022-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-25,"VIOLACIÓN",2022-07-19,NA,NA,2022-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,509,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-26,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-26,"VIOLACIÓN EQUIPARADA",2022-07-19,NA,NA,2022-07-19,NA,NA,NA,"SI",2021-03-17,"Vinculación a proceso","No se admite",NA,NA,NA,NA,NA,NA,NA,NA,2021,508,NA,NA,0,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
380,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-26,"VIOLACIÓN EQUIPARADA",2022-03-03,NA,2022-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,370,370,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-26,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-26,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,NA,1,"ORALIDAD AGUASCALIENTES",2021-02-26,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-03,"VIOLACIÓN EQUIPARADA",NA,NA,2021-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-03,"VIOLENCIA FAMILIAR",NA,NA,2022-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-04,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-05,"VIOLACIÓN EQUIPARADA",2021-11-09,NA,2021-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,249,249,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-07,"VIOLACIÓN EQUIPARADA",NA,NA,2021-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-08,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-09,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-10,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-10,"VIOLACIÓN EQUIPARADA",NA,NA,2022-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-12,"VIOLENCIA FAMILIAR",2021-07-12,NA,2021-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,122,122,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-16,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
