"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
281,NA,1,"ORALIDAD AGUASCALIENTES",2020-07-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,"Si",2020-08-10,"No vinculación a proceso","Modifica",NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-03,"VIOLACIÓN EQUIPARADA",2022-01-18,NA,NA,2022-01-18,2022-07-06,2022-07-20,"Condenatoria","Si",2022-08-16,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,533,NA,NA,0,169,14,NA,NA,NA,NA,NA,27,NA,NA,716
283,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-05,"VIOLACIÓN",2021-07-16,NA,NA,2021-07-16,2021-12-08,2022-01-07,"Condenatoria","Si",2022-01-25,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2020,345,NA,NA,0,145,30,NA,NA,NA,NA,NA,18,NA,NA,520
284,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-10,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-11,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-12,"VIOLACIÓN",NA,NA,2021-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-18,"VIOLENCIA FAMILIAR",2021-02-23,NA,2021-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,189,189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-19,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-21,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-27,"VIOLACIÓN EQUIPARADA",2021-12-16,NA,2021-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,476,476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
