ubicageo,cod_expe,cod_deli,delirie6,califica,gdo_cons,form_com,form_acc,modalida,elem_com,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"01005",1408,15,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","1"
"01005",1417,14,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1420,13,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1423,12,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1426,9,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","2"
"01005",1426,10,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","2"
"01005",1426,11,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","2"
"01005",1429,8,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","1"
"01005",1432,7,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1435,6,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1438,5,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","1"
"01005",1442,4,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1445,3,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1448,16,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","2"
"01005",1451,1,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01005",1453,2,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1409,60,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","3"
"01006",1418,61,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","2"
"01006",1421,59,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","2"
"01006",1424,58,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","1"
"01006",1427,57,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","1"
"01006",1430,55,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","2"
"01006",1430,56,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","2","2"
"01006",1433,54,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1436,53,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1439,52,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1443,51,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1446,50,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1449,49,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1452,48,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1454,47,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1456,46,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1458,45,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1460,17,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1462,18,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","1"
"01006",1464,19,3080,9,9,9,9,9,9,9,9,9,"09999","09/09/1899","1","7"
