ubicageo,cod_expe,cod_deli,delirie7,califica,gdo_cons,form_com,form_acc,modalida,elemcomi,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"01006",500,305,40600,2,1,2,9,4,9,1,9,99,"99999","09/09/1899","1","1"
"01006",500,306,90400,1,1,2,9,4,9,1,9,99,"99999","09/09/1899","1","1"
"01006",501,307,10400,1,1,1,1,4,4,9,9,99,"99999","09/09/1899","1","1"
"02002",13601,16160,40100,9,9,1,1,9,9,9,9,2,"02002","03/01/2015","1","3"
"02002",13602,16159,10400,2,9,1,9,9,9,9,1,2,"02002","16/08/2015","1","1"
"02002",13607,16133,40100,1,9,1,1,9,9,9,1,2,"02002","28/05/2013","1","2"
"02002",13608,16132,40103,2,9,1,9,9,9,9,9,2,"02002","22/08/2015","1","1"
"02002",13609,16134,30500,1,9,1,9,9,9,9,9,2,"02002","09/09/1899","1","1"
"02002",13609,16168,30500,1,1,1,9,9,9,9,9,2,"02002","14/07/2015","1","1"
"02002",13610,16135,10100,1,9,1,9,4,9,9,9,2,"02002","19/10/2014","1","2"
"02002",13611,16136,40300,2,9,1,9,9,9,9,9,2,"02002","25/02/2012","1","2"
"02002",13612,16137,40113,9,9,1,9,4,9,9,9,2,"02002","10/02/2015","1","2"
"02002",13613,16138,40300,9,9,1,9,9,9,9,9,2,"02002","02/12/2012","1","2"
"02002",13613,16139,40300,2,9,1,9,9,9,9,9,2,"02002","02/12/2012","1","1"
"02002",13614,16140,50200,9,9,1,9,9,9,9,9,2,"02002","15/08/2013","1","2"
"02002",13615,16141,10400,2,1,2,9,9,9,1,1,2,"02002","18/11/2015","1","2"
"02002",13615,16142,40600,2,1,2,9,9,9,1,1,2,"02002","18/11/2015","1","2"
"02002",13616,16143,40100,1,1,1,1,9,9,2,1,2,"02002","21/01/2015","1","1"
"02002",13616,16144,10100,1,9,1,9,4,9,2,2,2,"02002","21/01/2015","1","2"
"02002",13617,16145,10100,1,1,1,9,1,9,9,2,2,"02002","09/09/1899","1","2"
"02002",13618,16146,40100,9,9,1,1,9,9,9,9,2,"02002","17/05/2015","1","2"
"02002",13619,16147,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13619,16148,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13619,16149,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13619,16150,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13619,16151,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13619,16152,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13619,16153,40100,9,9,1,9,4,9,9,9,2,"02002","19/02/2015","1","1"
"02002",13620,16154,40100,1,9,1,1,9,9,9,1,2,"02002","17/09/2015","1","1"
"02002",13621,16155,40100,9,9,1,1,9,9,9,9,2,"02002","27/11/2015","1","2"
"02002",13621,16156,40103,9,9,1,1,9,9,9,9,2,"02002","27/11/2015","1","1"
