ubicageo,cod_expe,cod_deli,delirie6,califica,gdo_cons,form_com,form_acc,modalida,elemcomi,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"15058",8052,9213,4010,1,1,1,1,3,1,1,1,15,"15999","09/08/2016","1","1"
"15058",8053,9214,1010,1,1,2,1,4,2,1,1,15,"15999","07/07/2016","1","1"
"15058",8054,9215,1010,1,1,9,1,3,4,1,1,15,"15999","10/04/2016","2","1"
"15058",8055,9216,4010,1,1,9,1,3,3,1,1,15,"15058","13/11/2015","3","1"
"15058",8056,9217,3010,1,1,9,1,3,3,1,1,15,"15058","15/05/2016","1","1"
"15058",8057,9218,4010,1,1,9,1,3,5,1,1,15,"15999","22/06/2016","3","2"
"15058",8058,9219,4010,1,1,2,1,3,2,1,1,15,"15999","11/08/2016","1","2"
"15058",8059,9220,1010,1,1,1,9,4,1,0,1,15,"15058","06/07/2015","1","1"
"15058",8060,9221,3040,1,1,9,1,3,3,1,1,15,"15058","07/08/2016","1","1"
"15058",8061,9222,4010,1,1,2,1,3,2,1,1,15,"15058","27/08/2016","1","1"
"15058",8062,9223,3040,1,1,9,1,3,3,1,1,15,"15999","24/03/2016","1","1"
"15058",8063,9224,1010,1,1,9,9,4,3,0,1,15,"15999","13/06/2015","1","1"
"15058",8064,9225,3040,1,1,9,1,3,3,1,1,15,"15999","15/01/2016","1","1"
"15058",8065,9226,4010,1,1,9,1,3,3,1,1,15,"15058","20/07/2016","1","1"
"15058",8066,9227,4010,1,1,2,1,3,2,1,1,15,"15070","22/09/2016","1","1"
"15058",8067,9228,4010,1,1,2,1,3,2,1,1,15,"15999","05/09/2016","1","1"
"15058",8068,9229,4010,1,1,1,1,3,1,1,1,15,"15058","30/05/2016","1","1"
"15058",8069,9230,4010,1,1,2,1,3,2,1,1,15,"15058","25/06/2016","1","1"
"15058",8070,9231,2060,1,1,2,1,3,2,1,1,15,"15070","09/02/2016","1","1"
"15058",8071,9232,4010,1,1,1,1,3,1,1,1,15,"15999","26/08/2016","1","3"
"15058",8072,9233,4010,1,1,2,1,3,2,1,1,15,"15070","09/03/2016","2","1"
"15058",8073,9234,3040,1,1,9,9,3,5,0,1,15,"15999","27/08/2015","1","1"
"15058",8073,9235,3010,9,1,9,9,9,5,0,1,15,"15999","08/09/2015","1","1"
"15058",8074,9236,4010,1,1,2,1,3,2,1,1,15,"15070","28/09/2016","1","1"
"15058",8075,9237,4200,1,1,9,9,3,4,0,1,15,"15058","05/07/2016","1","1"
"15058",8076,9238,4010,1,1,2,1,3,2,1,1,15,"15058","13/10/2016","1","1"
"15058",8077,9239,4010,1,1,1,1,3,1,1,1,15,"15999","08/09/2016","2","1"
"15058",8078,9240,4010,1,1,2,1,4,2,1,1,15,"15999","01/09/2016","1","1"
"15058",8079,9241,8080,1,1,2,1,5,2,1,1,15,"15058","21/06/2016","1","1"
"15058",8079,9242,1010,1,2,2,1,4,2,1,1,15,"15058","21/06/2016","1","1"
"15058",8080,9243,8080,2,1,9,2,1,4,2,3,15,"15058","27/04/2016","1","1"
"15058",8081,9244,8080,1,2,1,1,3,1,1,1,15,"15058","09/10/2016","1","1"
"15058",8082,9245,2060,1,1,1,1,3,1,1,2,15,"15058","04/12/2015","1","2"
"15058",8083,9246,4010,1,1,1,1,3,1,1,1,15,"15058","02/10/2016","1","1"
"15058",8084,9247,4010,1,1,1,1,3,1,1,1,15,"15058","17/01/2015","2","1"
"15058",8085,9248,4010,1,1,2,1,3,2,1,1,15,"15122","31/05/2016","1","1"
"15058",8086,9249,4010,1,1,1,1,3,1,1,1,15,"15058","28/08/2016","1","1"
"15058",8087,9250,4010,1,1,1,1,3,1,1,1,15,"15070","17/08/2016","2","1"
"15058",8088,9251,1010,1,1,1,1,4,1,1,1,15,"15058","13/11/2010","3","1"
"15058",8089,9252,4010,1,1,2,1,3,2,1,1,15,"15999","28/09/2016","1","1"
"15058",8090,9253,4010,1,9,1,1,3,1,1,1,15,"15033","23/02/2016","2","1"
"15058",8091,9254,8080,2,1,9,9,1,5,0,1,15,"15058","08/04/2016","1","1"
"15058",8092,9255,4010,1,1,9,1,3,4,1,1,15,"15058","20/08/2016","1","3"
"15058",8093,9256,4010,2,1,9,2,3,4,2,1,15,"15070","01/07/2016","1","1"
"15058",8094,9257,4010,1,1,1,1,3,1,1,1,9,"09999","26/09/2016","1","1"
"15058",8095,9258,4010,1,1,1,1,3,1,1,1,15,"15058","26/11/2016","1","1"
"15058",8096,9259,4010,1,1,9,1,3,4,1,1,15,"15058","18/08/2016","1","1"
"15058",8097,9260,4010,1,1,2,1,3,2,1,1,15,"15999","31/10/2016","1","1"
"15058",8098,9261,4010,1,1,9,1,3,3,1,1,15,"15058","16/06/2016","1","1"
"15058",8099,9262,3040,1,1,9,9,3,5,9,9,15,"15058","08/08/2014","1","1"
"15058",8100,9263,4010,1,1,1,1,3,1,1,1,15,"15999","08/04/2016","3","1"
"15058",8101,9264,3040,1,1,9,9,3,5,0,1,15,"15070","16/05/2015","1","1"
"15058",8102,9265,4010,1,1,1,1,3,1,1,1,15,"15058","14/07/2016","2","1"
"15058",8103,9266,3040,1,1,2,1,3,2,1,1,15,"15058","07/06/2016","1","1"
"15058",8104,9267,1010,1,2,1,1,4,1,1,1,15,"15999","04/09/2016","1","1"
"15058",8105,9268,4010,1,1,1,1,3,1,1,1,15,"15070","11/10/2016","2","1"
"15058",8106,9269,4010,1,1,2,1,3,2,1,1,15,"15058","19/10/2016","1","1"
"15058",8107,9270,4010,1,1,2,1,3,2,1,1,15,"15999","22/11/2016","1","1"
