ubicgeob,cod_expe,cod_deli,delirie8,califdel,gdoconsu,formcomi,formacci,tipmodal,ele_comi,ticoncur,ticlasif,entiocur,munocurr,fec_ocur,totalca1,totalca2
"15025",5287,6684,40100,1,1,2,1,3,2,1,1,15,"15009","05/09/2015","1","1"
"15025",5288,6685,10100,1,1,1,1,4,1,1,1,15,"15122","09/10/2016","1","1"
"15025",5289,6686,40100,1,1,1,1,3,1,1,1,15,"15025","28/11/2016","1","1"
"15025",5290,6687,40100,1,1,2,1,3,2,1,1,15,"15025","19/01/2017","1","1"
"15025",5291,6688,30400,1,1,3,1,3,3,1,1,15,"15039","29/01/2017","1","1"
"15025",5292,6689,40100,1,1,3,1,3,3,1,1,15,"15094","01/09/2016","1","2"
"15025",5293,6690,70105,2,1,3,2,1,3,2,1,15,"15025","08/01/2017","1","1"
"15025",5294,6691,20600,1,1,1,1,3,1,1,4,15,"15999","04/03/2016","5","1"
"15025",5295,6692,40500,1,1,1,1,3,1,1,1,15,"15039","21/10/2016","2","1"
"15025",5296,6693,40100,1,1,1,1,3,1,1,1,15,"15039","26/01/2017","2","1"
"15025",5297,6694,10100,1,1,2,1,3,2,1,1,15,"15025","01/05/2016","1","1"
"15025",5298,6695,10400,2,1,3,2,3,4,2,1,15,"15039","11/10/2015","1","1"
"15025",5299,6696,10100,3,1,3,1,3,4,1,1,99,"99999","22/09/2016","1","1"
"15025",5300,6697,40100,1,1,2,1,3,2,1,1,15,"15039","19/07/2016","2","1"
"15025",5301,6698,40100,3,1,2,1,3,2,1,1,99,"99999","31/10/2016","1","3"
"15025",5302,6699,10100,1,1,1,1,5,1,1,2,15,"15122","06/08/2016","2","1"
"15025",5303,6700,40100,1,1,1,1,3,1,1,1,15,"15039","10/02/2017","1","1"
"15025",5304,6701,40500,1,1,3,2,3,3,2,1,15,"15014","04/01/2017","1","1"
"15025",5305,6702,40100,1,1,2,1,3,2,1,1,15,"15025","18/02/2017","1","1"
"15025",5306,6703,40100,1,1,2,1,3,2,1,1,15,"15039","24/02/2017","1","1"
"15025",5307,6704,10100,1,1,3,1,3,3,1,1,15,"15068","13/01/2015","4","1"
"15025",5308,6705,40100,1,1,1,1,3,1,1,1,15,"15039","08/11/2016","1","2"
"15025",5309,6706,40100,1,1,2,1,3,2,1,1,15,"15039","16/12/2016","1","1"
"15025",5310,6707,40100,3,1,3,3,6,6,3,4,15,"15999","02/10/2015","1","1"
"15025",5311,6708,30400,1,1,3,1,3,3,1,1,15,"15122","25/01/2017","1","1"
"15025",5312,6709,40100,2,1,2,1,3,2,1,1,99,"99999","20/10/2016","1","1"
"15025",5313,6710,40100,1,1,2,1,3,2,1,1,15,"15025","15/11/2016","1","1"
"15025",5314,6711,40100,1,1,3,1,3,4,1,1,15,"15025","24/01/2017","2","1"
