ubicageo,cod_expe,cod_deli,delirie7,califica,gdo_cons,form_com,form_acc,modalida,elemcomi,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"01001",1,1,10100,1,1,1,1,4,9,9,9,1,"01001","06/01/2017","2","1"
"01001",1,15070,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01001",2,2,40100,2,1,1,9,4,9,9,9,1,"01001","17/01/2017","1","1"
"01001",2,15066,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01001",3,3,10100,1,1,1,1,4,1,9,9,1,"01001","25/01/2017","1","1"
"01001",3,15079,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01001",4,4,20600,1,1,1,1,3,0,9,9,1,"01001","01/02/2017","2","1"
"01001",4,15069,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01001",5,5,10100,1,1,1,1,3,9,2,9,1,"01001","08/03/2017","4","1"
"01001",5,15086,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01001",6,6,10100,1,1,1,1,4,2,9,9,1,"01001","13/03/2017","1","1"
"01001",6,15064,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01001",7,7,40100,2,1,1,9,4,9,9,9,1,"01001","31/03/2017","1","1"
"01001",7,15073,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01006",8,8,10400,1,1,1,1,4,1,9,9,1,"01005","19/11/2016","1","1"
"01006",8,15074,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"01006",9,9,10100,1,1,1,1,3,4,9,9,1,"01010","27/01/2017","2","1"
"01006",9,15078,91900,9,9,9,9,9,9,9,9,99,"99999","09/09/1899","NSS","NSS"
"02001",10,10,40100,2,9,1,9,9,9,2,1,2,"02001","16/03/2016","1","1"
"02001",10,11,40103,1,9,1,1,9,9,2,1,2,"02001","16/03/2016","1","1"
